"x_blur","y_blur","fitness"
39,13,0.952756
40,13,0.929134
41,13,0.948819
42,13,0.948819
43,13,0.933071
44,13,0.913386
45,13,0.944882
46,13,0.940945
47,13,0.940945
48,13,0.940945
49,13,0.940945
50,13,0.948819
0,14,0.925197
1,14,0.929134
2,14,0.96063
3,14,0.948819
4,14,0.956693
5,14,0.944882
6,14,0.940945
7,14,0.956693
8,14,0.944882
9,14,0.937008
10,14,0.929134
11,14,0.96063
12,14,0.944882
13,14,0.972441
14,14,0.933071
15,14,0.933071
16,14,0.952756
17,14,0.956693
18,14,0.956693
19,14,0.925197
20,14,0.948819
21,14,0.96063
22,14,0.956693
23,14,0.940945
24,14,0.956693
25,14,0.933071
26,14,0.92126
27,14,0.944882
28,14,0.933071
29,14,0.948819
30,14,0.933071
31,14,0.948819
32,14,0.96063
33,14,0.940945
34,14,0.940945
35,14,0.937008
36,14,0.964567
37,14,0.925197
38,14,0.933071
39,14,0.933071
40,14,0.952756
41,14,0.937008
42,14,0.937008
43,14,0.944882
44,14,0.933071
45,14,0.956693
46,14,0.937008
47,14,0.933071
48,14,0.929134
49,14,0.925197
50,14,0.944882
0,15,0.940945
1,15,0.952756
2,15,0.948819
3,15,0.964567
4,15,0.948819
5,15,0.940945
6,15,0.944882
7,15,0.952756
8,15,0.937008
9,15,0.96063
10,15,0.937008
11,15,0.929134
12,15,0.929134
13,15,0.944882
14,15,0.944882
15,15,0.944882
16,15,0.952756
17,15,0.956693
18,15,0.956693
19,15,0.933071
20,15,0.940945
21,15,0.948819
22,15,0.913386
23,15,0.917323
24,15,0.937008
25,15,0.929134
26,15,0.952756
27,15,0.944882
28,15,0.944882
29,15,0.952756
30,15,0.952756
31,15,0.937008
32,15,0.933071
33,15,0.948819
34,15,0.933071
35,15,0.96063
36,15,0.948819
37,15,0.944882
38,15,0.944882
39,15,0.937008
40,15,0.940945
41,15,0.940945
42,15,0.937008
43,15,0.925197
44,15,0.925197
45,15,0.925197
46,15,0.937008
47,15,0.917323
48,15,0.937008
49,15,0.940945
50,15,0.940945
0,16,0.956693
1,16,0.948819
2,16,0.964567
3,16,0.948819
4,16,0.956693
5,16,0.929134
6,16,0.925197
7,16,0.948819
8,16,0.933071
9,16,0.944882
10,16,0.940945
11,16,0.972441
12,16,0.937008
13,16,0.937008
14,16,0.948819
15,16,0.96063
16,16,0.929134
17,16,0.964567
18,16,0.944882
19,16,0.968504
20,16,0.956693
21,16,0.940945
22,16,0.933071
23,16,0.948819
24,16,0.956693
25,16,0.948819
26,16,0.948819
27,16,0.96063
28,16,0.96063
29,16,0.948819
30,16,0.956693
31,16,0.940945
32,16,0.940945
33,16,0.944882
34,16,0.952756
35,16,0.964567
36,16,0.948819
37,16,0.956693
38,16,0.944882
39,16,0.944882
40,16,0.937008
41,16,0.948819
42,16,0.925197
43,16,0.940945
44,16,0.948819
45,16,0.937008
46,16,0.940945
47,16,0.92126
48,16,0.937008
49,16,0.917323
50,16,0.917323
0,17,0.933071
1,17,0.948819
2,17,0.944882
3,17,0.952756
4,17,0.952756
5,17,0.952756
6,17,0.956693
7,17,0.956693
8,17,0.952756
9,17,0.937008
10,17,0.917323
11,17,0.952756
12,17,0.948819
13,17,0.948819
14,17,0.940945
15,17,0.940945
16,17,0.952756
17,17,0.937008
18,17,0.948819
19,17,0.929134
20,17,0.925197
21,17,0.948819
22,17,0.956693
23,17,0.96063
24,17,0.948819
25,17,0.952756
26,17,0.952756
27,17,0.933071
28,17,0.948819
29,17,0.933071
30,17,0.948819
31,17,0.952756
32,17,0.952756
33,17,0.96063
34,17,0.956693
35,17,0.952756
36,17,0.948819
37,17,0.937008
38,17,0.944882
39,17,0.929134
40,17,0.917323
41,17,0.933071
42,17,0.933071
43,17,0.933071
44,17,0.929134
45,17,0.948819
46,17,0.909449
47,17,0.944882
48,17,0.940945
49,17,0.925197
50,17,0.944882
0,18,0.952756
1,18,0.948819
2,18,0.968504
3,18,0.968504
4,18,0.952756
5,18,0.933071
6,18,0.944882
7,18,0.952756
8,18,0.948819
9,18,0.952756
10,18,0.944882
11,18,0.940945
12,18,0.944882
13,18,0.948819
14,18,0.952756
15,18,0.937008
16,18,0.940945
17,18,0.948819
18,18,0.933071
19,18,0.929134
20,18,0.944882
21,18,0.937008
22,18,0.929134
23,18,0.952756
24,18,0.937008
25,18,0.937008
26,18,0.952756
27,18,0.948819
28,18,0.940945
29,18,0.940945
30,18,0.952756
31,18,0.944882
32,18,0.925197
33,18,0.937008
34,18,0.940945
35,18,0.948819
36,18,0.933071
37,18,0.944882
38,18,0.952756
39,18,0.944882
40,18,0.925197
41,18,0.952756
42,18,0.956693
43,18,0.929134
44,18,0.956693
45,18,0.948819
46,18,0.948819
47,18,0.940945
48,18,0.937008
49,18,0.944882
